Name of Clinic,Address,Email,Phone,Services
My FootDr Warragul,1/65 Victoria St Warragul VIC 3820,warragul@myfootdr.com.au,03 5623 4677,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; SWIFT Microwave Wart Therapy; Resources
My FootDr Aldinga,Aldinga Medical Centre 89 Rowley Road Aldinga Beach SA 5173,aldinga@myfootdr.com.au,08 7286 3003,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Blackwood,236 Main Road Blackwood SA 5051,blackwood@myfootdr.com.au,08 8278 9777,Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources; Ankle-Foot Orthoses
My FootDr Christies Beach,141 Beach Rd Christies Beach SA 5165,christies.beach@myfootdr.com.au,08 8384 7626,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Hove,372 Brighton Rd Hove SA 5048,hove@myfootdr.com.au,08 8358 2211,Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources; Ankle-Foot Orthoses
My FootDr Modbury,2/959 North East Rd Modbury SA 5092,modbury@myfootdr.com.au,08 8265 4130,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Resources; Richie Brace
My FootDr Woodville,Shop 1 924 Port Road Woodville West SA 5011,woodville@myfootdr.com.au,08 8243 1095,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
Semaphore,160 Semaphore Road Semaphore SA 5019,semaphore@myfootdr.com.au,08 8234 8666,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Shockwave Therapy
My FootDr Stirling,Shop 10 Stirling Tiers 55 Mt Barker Road Stirling SA 5152,stirling@myfootdr.com.au,08 8339 7551,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Resources
My FootDr Unley,98 Unley Rd Unley SA 5061,unley@myfootdr.com.au,08 8357 0747,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Resources
BIM Podiatry Balcatta,"Lot 2, 386 Wanneroo Road Westminster WA 6061",,08 9908 9100,
Back In Motion Podiatry Como,Unit 3 / 460 Canning Highway Como WA 6152,como@backinmotion.com.au,08 9313 3414,Clinical Podiatry; Shockwave Therapy
My FootDr Currambine,Suite 12/13 Hobsons Gate Currambine WA 6028,currambine@myfootdr.com.au,08 9304 1898,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
My FootDr Warwick,"Shop SP039, Warwick Grove Shopping Centre Cnr Beach and Erindale Road Warwick WA 6024",warwick@myfootdr.com.au,08 9447 1117,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Footwear; Resources
My FootDr Wembley Downs,136B Weaponess Rd Wembley Downs WA 6019,wembleydowns@myfootdr.com.au,08 9245 2084,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Palmerston,"Shop 15, Oasis Shopping Village 15 Temple Tce Palmerston NT 0830",palmerston@myfootdr.com.au,08 8932 2233,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources
Devonport,26 William St Devonport TAS 7310,devonport@myfootdr.com.au,03 6424 8182,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Ispahan,315 Macquarie Street Hobart TAS 7000,ispahan@myfootdr.com.au,03 6224 3555,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
